N, nbOp, tExec (ms)
10, 330, 0,003
11, 395, 0,004
12, 463, 0,004
13, 539, 0,002
14, 616, 0,000
15, 697, 0,001
16, 783, 0,001
17, 879, 0,001
18, 975, 0,001
19, 1077, 0,001
20, 1183, 0,001
21, 1290, 0,001
22, 1407, 0,001
23, 1527, 0,001
24, 1648, 0,001
25, 1780, 0,001
26, 1912, 0,001
27, 2046, 0,001
28, 2192, 0,001
29, 2338, 0,001
30, 2483, 0,002
31, 2642, 0,002
32, 2800, 0,002
33, 2965, 0,002
34, 3129, 0,002
35, 3296, 0,002
36, 3479, 0,002
37, 3652, 0,002
38, 3846, 0,002
39, 4030, 0,002
40, 4225, 0,002
41, 4417, 0,002
42, 4623, 0,002
43, 4822, 0,002
44, 5048, 0,002
45, 5252, 0,003
46, 5468, 0,003
47, 5691, 0,003
48, 5917, 0,003
49, 6147, 0,003
50, 6399, 0,003
51, 6633, 0,003
52, 6867, 0,003
53, 7118, 0,003
54, 7376, 0,003
55, 7628, 0,004
56, 7887, 0,004
57, 8148, 0,004
58, 8415, 0,004
59, 8694, 0,004
60, 8969, 0,004
61, 9245, 0,004
62, 9533, 0,004
63, 9818, 0,004
64, 10118, 0,004
65, 10422, 0,004
66, 10725, 0,005
67, 11016, 0,005
68, 11338, 0,005
69, 11657, 0,005
70, 11972, 0,005
71, 12293, 0,006
72, 12621, 0,006
73, 12956, 0,006
74, 13292, 0,006
75, 13636, 0,006
76, 13970, 0,006
77, 14317, 0,006
78, 14663, 0,006
79, 15026, 0,007
80, 15390, 0,007
81, 15745, 0,007
82, 16126, 0,007
83, 16492, 0,007
84, 16864, 0,007
85, 17252, 0,007
86, 17627, 0,008
87, 18029, 0,009
88, 18415, 0,008
89, 18816, 0,009
90, 19213, 0,009
91, 19611, 0,009
92, 20020, 0,010
93, 20448, 0,010
94, 20847, 0,010
95, 21287, 0,010
96, 21697, 0,011
97, 22135, 0,010
98, 22562, 0,010
99, 23014, 0,011
