N, nbOp, tExec (ms)
10, 326, 0,001
11, 395, 0,001
12, 471, 0,000
13, 560, 0,000
14, 643, 0,000
15, 734, 0,000
16, 836, 0,001
17, 945, 0,001
18, 1049, 0,001
19, 1171, 0,001
20, 1300, 0,001
21, 1427, 0,001
22, 1566, 0,001
23, 1715, 0,001
24, 1866, 0,001
25, 2021, 0,001
26, 2193, 0,001
27, 2369, 0,001
28, 2553, 0,001
29, 2727, 0,001
30, 2897, 0,001
31, 3105, 0,001
32, 3316, 0,001
33, 3536, 0,001
34, 3748, 0,001
35, 3950, 0,001
36, 4184, 0,001
37, 4414, 0,001
38, 4668, 0,001
39, 4926, 0,002
40, 5186, 0,002
41, 5461, 0,002
42, 5705, 0,003
43, 5979, 0,002
44, 6281, 0,002
45, 6526, 0,002
46, 6789, 0,002
47, 7127, 0,002
48, 7416, 0,002
49, 7722, 0,002
50, 8102, 0,002
51, 8405, 0,002
52, 8712, 0,002
53, 9059, 0,002
54, 9406, 0,002
55, 9764, 0,003
56, 10126, 0,003
57, 10461, 0,003
58, 10850, 0,003
59, 11206, 0,003
60, 11552, 0,003
61, 11989, 0,003
62, 12307, 0,003
63, 12757, 0,003
64, 13194, 0,003
65, 13673, 0,003
66, 14048, 0,004
67, 14471, 0,004
68, 14864, 0,004
69, 15358, 0,004
70, 15817, 0,004
71, 16272, 0,004
72, 16780, 0,004
73, 17193, 0,004
74, 17721, 0,004
75, 18080, 0,005
76, 18599, 0,005
77, 19110, 0,005
78, 19527, 0,005
79, 20069, 0,005
80, 20622, 0,005
81, 21145, 0,005
82, 21673, 0,005
83, 22321, 0,005
84, 22757, 0,005
85, 23231, 0,006
86, 23869, 0,006
87, 24410, 0,006
88, 24857, 0,006
89, 25491, 0,007
90, 25995, 0,006
91, 26603, 0,007
92, 27256, 0,007
93, 27822, 0,007
94, 28498, 0,007
95, 29104, 0,008
96, 29593, 0,008
97, 30312, 0,008
98, 30992, 0,008
99, 31559, 0,008
